date,userid,tweet,lang
2021-11-07 23:59:53+00:00,1205109494700806144,Daughter Of Hollywood Actors Opens Up About Her Health Problems Triggered By COVID-19 Vaccine: “I Was Asked Not To Tell My Story” https://t.co/vb2hbL8jcR,en
2021-11-07 23:59:41+00:00,3149041414,Chris Rock Slams NBA Star Kyrie Irving As “F—ing Dumb” For Choosing Not To Get The COVID-19 Vaccine https://t.co/NUJUA5G5Qc,en
2021-11-07 23:59:11+00:00,1291592284417351680,Aaron Rodgers scorns NFL COVID-19 protocols because he can – with no consequences and which idiot thinks Tom Brady took the vaccine?  He won’t even eat nightshade vegetables.    https://t.co/q7dp2LU5bR https://t.co/mwvSVLYiVC,en
2021-11-07 23:59:03+00:00,1205109494700806144,Delilah Belle Hamlin reveals battle with autoimmune diseases she believes were triggered by the COVID-19 vaccine https://t.co/Y91jvC6swk via @Yahoo,en
2021-11-07 23:58:40+00:00,1272575329467392001,biden: 10 US states sue Biden administration over Covid-19 vaccine rule https://t.co/zmVtZ2rFJw,en
2021-11-07 23:58:26+00:00,784010923887452160,Federal law prohibits employers and others from requiring vaccination with a Covid-19 vaccine... https://t.co/R1hYqDd0EP via @statnews,en
2021-11-07 23:57:57+00:00,920484526437965824,COVID-19 Vaccine Refusal https://t.co/jkkfgUCszs,en
2021-11-07 23:57:38+00:00,1422668272885977088,Carrie Underwood’s Husband Mike Fisher Supports Aaron Rodgers Over COVID-19 Vaccine and Divides Fans https://t.co/bT1q7kCpJH,en
2021-11-07 23:56:52+00:00,318455125,Facts are needed in discussion about kids and COVID-19 vaccine https://t.co/7Z3jHYl0JJ via @YouTube,en
2021-11-07 23:56:51+00:00,355297398,‘Study shows dramatic decline in effectiveness of all three COVID-19 vaccines over time’ https://t.co/ImGXsZz5lS,en
2021-11-07 23:56:43+00:00,1269224679979364353,"If you’re not awake yet I pity you, but it’s never too late to come to your senses !🧡Covid-19: Researcher blows the whistle on data integrity issues in Pfizer’s vaccine trial | The BMJ https://t.co/dymtcRaEXz",en
2021-11-07 23:55:48+00:00,149993196,"Opinion | Washington Post | Covid-19 killed my brother and sister a week apart. It didn’t have to happen. Despite our begging and cajoling, they had both refused the vaccines. https://t.co/HEzCmWDh01",en
